Plot_Number,Owner_Name,NRC_Number,Location,Plot_Size_sq_m,Land_Use,Title_Deed,Tenure,Registration_Date,Encumbrances,GPS_Coordinates,Ground_Rent_Status
NDL-0369,PanAfrican Cement Enterprises,294310/36/4,Chifubu,2000,Industrial,TDR-2006-9884,State Land,2007-10-01,None,"-12.978754,28.657484",Paid
NDL-0370,Mutale Mwanza,468615/35/4,Railway Line,1500,Commercial,TDR-2020-7018,Leasehold (50 yrs),2012-08-31,None,"-12.993172,28.662881",Paid
NDL-0371,Michael Phiri,580632/10/6,Chifubu,8000,Industrial,TDR-2016-5090,Freehold,2015-05-10,Mortgaged,"-12.984479,28.633925",Paid
NDL-0372,James Ndalama,368375/40/7,Ndeke,5000,Agricultural,TDR-2010-5543,Leasehold (65 yrs),2019-03-11,None,"-12.980132,28.657055",Paid
NDL-0373,Mary Lungu,566835/20/4,Chifubu,1089,Mixed Use,TDR-2016-4975,Leasehold (99 yrs),2022-07-21,None,"-12.968416,28.662864",Paid
NDL-0374,Simon Mwape,832568/31/5,Kansenshi,500,Commercial,TDR-2023-5789,State Land,2005-01-06,None,"-12.982519,28.668350",Paid
NDL-0375,Simon Mulenga,775467/12/5,Railway Line,400,Residential,TDR-2019-8298,Leasehold (65 yrs),2013-10-08,None,"-12.980470,28.622218",Arrears
NDL-0376,Mulenga Kaunda,677878/32/7,Chipulukusu,500,Commercial,TDR-2021-8269,State Land,2014-02-03,None,"-12.964414,28.667723",Paid
NDL-0377,Peter Kaluba,491234/13/7,Railway Line,1357,Mixed Use,TDR-2006-7456,Leasehold (65 yrs),2019-08-31,Boundary_Dispute,"-12.985817,28.626875",Paid
NDL-0378,Mulenga Mwanza,782343/25/9,Kitwe Road,500,Residential,TDR-2018-5472,Leasehold (65 yrs),2023-04-26,None,"-12.979519,28.645061",Paid
NDL-0379,Samuel Chanda,439798/41/9,Kabushi,1000,Commercial,TDR-2023-8565,Leasehold (65 yrs),2008-08-05,None,"-12.988068,28.628772",Paid
NDL-0380,Grace Ndalama,975335/35/1,Chipulukusu,300,Residential,TDR-2010-8973,Leasehold (65 yrs),2018-01-21,None,"-12.986147,28.626425",Paid
NDL-0381,Patricia Chola,428481/38/1,Mapalo,800,Residential,TDR-2006-1470,Leasehold (65 yrs),2022-04-17,None,"-12.991344,28.659367",Paid
NDL-0382,Angela Kapasa,906015/35/7,Garden,1500,Commercial,TDR-2024-3230,Leasehold (50 yrs),2017-05-10,None,"-12.991387,28.642646",Paid
NDL-0383,Patrick Kaluba,264028/49/1,Mushili,800,Residential,TDR-2012-6638,Leasehold (99 yrs),2009-12-23,None,"-12.967372,28.658531",Paid
NDL-0384,Chipo Tembo,675762/34/6,Masala,500,Residential,TDR-2006-8956,Freehold,2021-06-17,None,"-12.967841,28.620795",Paid
NDL-0385,Patricia Tembo,342747/31/4,Chipulukusu,8000,Industrial,TDR-2006-7709,Leasehold (65 yrs),2023-07-26,Auctioned,"-12.971651,28.632190",Paid
NDL-0386,Ruth Zulu,897719/34/4,Railway Line,1200,Commercial,TDR-2024-9220,State Land,2019-09-27,None,"-12.961689,28.637677",Arrears
NDL-0387,Angela Chanda,248980/39/9,Chipulukusu,1000,Commercial,TDR-2015-4237,Leasehold (50 yrs),2006-08-26,None,"-12.988921,28.631851",Paid
NDL-0388,David Mulenga,839601/21/5,Ndeke,8000,Industrial,TDR-2015-8487,State Land,2021-10-20,None,"-12.973849,28.662044",Paid
NDL-0389,Thandiwe Mulenga,172539/38/5,Industrial Area,2000,Industrial,TDR-2010-3173,Leasehold (50 yrs),2014-07-30,Double_Allocation,"-12.975795,28.639690",Paid
NDL-0390,Kansenshi Traders Holdings,930934/13/2,Itawa,3000,Agricultural,TDR-2006-3679,Leasehold (99 yrs),2021-11-14,None,"-12.996704,28.639669",Paid
NDL-0391,Michael Kapasa,765243/11/3,Mushili,300,Residential,TDR-2022-2313,Freehold,2021-07-22,None,"-12.960541,28.634015",Paid
NDL-0392,Alice Kapasa,295182/12/7,Chililabombwe Road,1200,Commercial,TDR-2010-8210,Leasehold (65 yrs),2008-09-27,None,"-12.962202,28.624358",Paid
NDL-0393,Mulenga Mulilo,211684/10/9,Kitwe Road,1500,Agricultural,TDR-2007-4077,Freehold,2013-01-09,None,"-12.970697,28.641936",Paid
NDL-0394,Ruth Ndalama,990220/22/6,Chipulukusu,300,Residential,TDR-2023-9140,Leasehold (65 yrs),2005-09-07,None,"-12.997150,28.620631",Paid
NDL-0395,Samuel Banda,493713/23/6,Kabushi,1000,Residential,TDR-2016-2549,Leasehold (99 yrs),2013-04-28,None,"-12.971597,28.668610",Paid
NDL-0396,Mary Mwape,238960/35/5,Kabushi,5000,Industrial,TDR-2013-6248,State Land,2007-06-22,None,"-12.993066,28.663940",Paid
NDL-0397,Chileshe Ndalama,629523/16/7,Chipulukusu,3000,Industrial,TDR-2007-1301,Leasehold (50 yrs),2021-01-03,None,"-12.975151,28.655012",Paid
NDL-0398,Patricia Chanda,947163/32/7,Chifubu,300,Commercial,TDR-2023-8832,Leasehold (65 yrs),2012-01-05,None,"-12.978283,28.649191",Paid
NDL-0399,Mulenga Mulilo,420009/47/3,Town Centre,1000,Commercial,TDR-2018-3915,Leasehold (99 yrs),2012-10-24,None,"-12.980196,28.637920",Paid
NDL-0400,Chipo Tembo,788134/34/6,Masala,500,Residential,TDR-2021-1616,Leasehold (65 yrs),2012-01-30,None,"-12.997240,28.624019",Paid
NDL-0401,Copperbelt Logistics Co,491468/10/8,Garden,1500,Agricultural,TDR-2011-4317,Freehold,2005-07-19,None,"-12.985052,28.634033",Paid
NDL-0402,Ruth Ndalama,228629/10/1,Chililabombwe Road,1200,Commercial,TDR-2011-9946,Leasehold (65 yrs),2017-04-02,Mortgaged,"-12.989911,28.644693",Paid
NDL-0403,Simon Kapasa,124779/16/7,Lubuto,1200,Commercial,TDR-2015-5106,Freehold,2009-06-27,Caveat,"-12.961805,28.653072",Paid
NDL-0404,Victor Sichone,943181/16/8,Lubuto,1384,Mixed Use,TDR-2015-8060,Freehold,2012-05-21,Caveat,"-12.964688,28.626254",Paid
NDL-0405,Mulenga Mulilo,338933/28/1,Kitwe Road,10000,Industrial,TDR-2015-8948,Freehold,2017-02-03,None,"-12.960797,28.649125",Paid
NDL-0406,Nelson Sichone,370238/21/3,Northrise,1053,Mixed Use,TDR-2011-6949,Leasehold (50 yrs),2021-08-23,None,"-12.961464,28.659015",Paid
NDL-0407,Angela Sitali,275756/23/2,Mushili,400,Commercial,TDR-2013-3309,Leasehold (65 yrs),2022-09-11,Boundary_Dispute,"-12.991141,28.637508",Paid
NDL-0408,Chipo Phiri,535717/24/1,Chililabombwe Road,2000,Industrial,TDR-2020-3544,Freehold,2019-09-21,None,"-12.975459,28.626479",Paid
NDL-0409,Mercy Phiri,429462/13/1,Masala,696,Mixed Use,TDR-2010-3230,State Land,2019-12-06,None,"-12.984277,28.637789",Paid
NDL-0410,Thandiwe Kaunda,392351/10/7,Masala,600,Residential,TDR-2023-4663,Freehold,2008-10-23,None,"-12.994471,28.666248",Paid
NDL-0411,Michael Mwape,278133/29/7,Itawa,400,Commercial,TDR-2009-6331,Freehold,2013-02-16,None,"-12.966140,28.648625",Arrears
NDL-0412,Chanda Mwape,945906/44/6,Mushili,1200,Commercial,TDR-2017-1207,State Land,2020-05-30,None,"-12.996850,28.629532",Paid
NDL-0413,Patrick Sitali,857067/11/9,Kitwe Road,1500,Mixed Use,TDR-2023-6135,Leasehold (65 yrs),2020-10-30,None,"-12.976257,28.625126",Paid
NDL-0414,Ndola Minerals Holdings,219080/38/7,Chifubu,663,Mixed Use,TDR-2007-4428,Freehold,2017-03-09,None,"-12.979109,28.645030",Paid
NDL-0415,PanAfrican Cement Holdings,730876/31/6,Ndeke,1378,Mixed Use,TDR-2014-3303,Freehold,2017-01-19,None,"-12.966757,28.649019",Paid
NDL-0416,Samuel Mulenga,169265/26/6,Chifubu,20000,Industrial,TDR-2016-4997,Leasehold (50 yrs),2015-10-07,None,"-12.968920,28.642398",Paid
NDL-0417,Esther Lungu,410665/38/9,Kansenshi,20000,Industrial,TDR-2018-8262,Leasehold (65 yrs),2016-07-23,None,"-12.981695,28.651054",Paid
NDL-0418,James Mwanza,943494/39/4,Railway Line,20000,Industrial,TDR-2016-1819,Leasehold (50 yrs),2013-10-16,None,"-12.964353,28.626486",Paid
NDL-0419,George Mwape,849826/21/1,Kansenshi,800,Commercial,TDR-2015-3816,State Land,2006-08-07,None,"-12.984739,28.659018",Paid
NDL-0420,Faith Mwape,551641/10/7,Industrial Area,1794,Mixed Use,TDR-2008-6338,State Land,2019-10-15,None,"-12.961754,28.671564",Paid
NDL-0421,James Sichone,578278/22/4,Chifubu,10000,Agricultural,TDR-2008-5293,Leasehold (65 yrs),2013-09-25,None,"-12.983744,28.654051",Paid
NDL-0422,Mutale Sichone,658582/22/3,Chililabombwe Road,1140,Mixed Use,TDR-2016-3353,Leasehold (65 yrs),2021-01-20,None,"-12.970275,28.649927",Paid
NDL-0423,Linda Tembo,894835/25/2,Chililabombwe Road,400,Residential,TDR-2022-5768,Freehold,2014-12-03,None,"-12.974759,28.665075",Arrears
NDL-0424,Copperbelt Logistics Ltd,832098/23/1,Lubuto,20000,Agricultural,TDR-2021-4355,Leasehold (99 yrs),2010-06-20,None,"-12.981913,28.633470",Paid
NDL-0425,James Sitali,613026/47/6,Kansenshi,400,Commercial,TDR-2016-8335,Freehold,2023-03-14,None,"-12.988327,28.621043",Arrears
NDL-0426,Moses Chola,180028/15/5,Northrise,8000,Agricultural,TDR-2016-1121,Leasehold (50 yrs),2024-02-05,None,"-12.988986,28.661546",Paid
NDL-0427,Peter Zulu,844692/43/5,Mushili,10000,Industrial,TDR-2022-2409,Leasehold (65 yrs),2011-03-04,Caveat,"-12.992944,28.674012",Paid
NDL-0428,Chibwe Mwanza,469039/35/2,Twapia,800,Residential,TDR-2013-9457,Leasehold (65 yrs),2019-12-10,None,"-12.961658,28.666699",Paid
NDL-0429,Simon Banda,758442/24/5,Industrial Area,800,Residential,TDR-2019-5169,Leasehold (50 yrs),2014-01-09,None,"-12.967436,28.634546",Paid
NDL-0430,George Mulilo,906166/36/9,Ndeke,800,Commercial,TDR-2013-1831,State Land,2008-03-20,Caveat,"-12.985538,28.669628",Paid
NDL-0431,Linda Tembo,104387/27/7,Kabushi,490,Mixed Use,TDR-2007-5146,State Land,2012-05-22,None,"-12.965504,28.623081",Paid
NDL-0432,Michael Chola,730846/44/8,Ndeke,1795,Mixed Use,TDR-2022-1936,Leasehold (65 yrs),2008-04-17,None,"-12.987031,28.653814",Paid
NDL-0433,Mary Mumba,571686/42/6,Ndeke,20000,Industrial,TDR-2022-7132,Leasehold (65 yrs),2020-11-04,None,"-12.996202,28.668224",Paid
NDL-0434,Chibwe Mulenga,332005/26/5,Mapalo,20000,Industrial,TDR-2022-7396,State Land,2011-01-20,None,"-12.995731,28.669473",Paid
NDL-0435,Michael Sichone,272934/27/3,Mapalo,1494,Mixed Use,TDR-2015-8002,State Land,2007-01-15,Double_Allocation,"-12.993867,28.670303",Paid
NDL-0436,James Mulenga,723080/21/7,Town Centre,200,Residential,TDR-2022-8753,Freehold,2020-05-03,None,"-12.963907,28.639214",Paid
NDL-0437,Chanda Lungu,577469/33/7,Chipulukusu,5000,Industrial,TDR-2015-2820,State Land,2006-12-23,None,"-12.978364,28.674153",Paid
NDL-0438,Michael Mulilo,663909/21/1,Kitwe Road,1200,Commercial,TDR-2012-6057,Leasehold (99 yrs),2016-05-12,None,"-12.973100,28.668638",Paid
NDL-0439,Brian Ndalama,884195/26/5,Chipulukusu,2000,Industrial,TDR-2016-6527,Leasehold (65 yrs),2017-12-28,None,"-12.967670,28.653959",Arrears
NDL-0440,Nelson Tembo,231545/44/5,Town Centre,8000,Industrial,TDR-2014-4502,Leasehold (99 yrs),2023-11-04,None,"-12.993494,28.649974",Arrears
NDL-0441,James Sitali,772994/42/2,Ndeke,1232,Mixed Use,TDR-2009-8311,Freehold,2023-05-17,Mortgaged,"-12.982250,28.623788",Paid
NDL-0442,Kansenshi Traders Ltd,725066/20/3,Chifubu,20000,Industrial,TDR-2018-8301,Leasehold (65 yrs),2020-03-11,None,"-12.996424,28.638999",Paid
NDL-0443,Patricia Mwanza,106853/14/3,Industrial Area,300,Commercial,TDR-2009-2029,Leasehold (50 yrs),2019-08-14,None,"-12.972652,28.634629",Paid
NDL-0444,Patrick Tembo,974317/21/9,Garden,5000,Agricultural,TDR-2019-4398,Freehold,2007-09-23,None,"-12.994047,28.659058",Paid
NDL-0445,Mulenga Mulenga,719768/32/2,Industrial Area,500,Commercial,TDR-2010-6813,Leasehold (65 yrs),2012-05-09,None,"-12.996815,28.634989",Arrears
NDL-0446,Esther Tembo,189544/43/8,Ndeke,2000,Agricultural,TDR-2014-4535,Leasehold (65 yrs),2022-03-02,None,"-12.970373,28.671224",Paid
NDL-0447,Peter Tembo,810879/14/1,Kitwe Road,849,Mixed Use,TDR-2014-3022,State Land,2009-09-02,None,"-12.989427,28.670072",Paid
NDL-0448,Angela Phiri,140200/29/4,Lubuto,600,Residential,TDR-2019-1765,Leasehold (65 yrs),2024-09-17,None,"-12.979363,28.629782",Arrears
NDL-0449,Mulenga Kaluba,810018/11/8,Mushili,1774,Mixed Use,TDR-2006-2496,Freehold,2016-08-04,None,"-12.978994,28.626688",Paid
NDL-0450,Rose Banda,541923/45/7,Kitwe Road,791,Mixed Use,TDR-2005-6555,Freehold,2024-09-11,None,"-12.994282,28.672965",Paid
NDL-0451,Chibwe Banda,596980/29/7,Itawa,1000,Residential,TDR-2018-8033,Leasehold (65 yrs),2011-07-21,None,"-12.980553,28.649218",Arrears
NDL-0452,Memory Chola,539121/31/3,Itawa,2000,Industrial,TDR-2012-3207,Leasehold (65 yrs),2023-11-17,Caveat,"-12.960285,28.630481",Paid
NDL-0453,James Kaluba,880788/44/8,Railway Line,5000,Industrial,TDR-2013-6811,State Land,2024-09-18,None,"-12.987512,28.668583",Paid
NDL-0454,Michael Zulu,330434/18/4,Twapia,5000,Industrial,TDR-2015-8116,Leasehold (65 yrs),2010-12-16,None,"-12.989220,28.625946",Paid
NDL-0455,Joseph Kaluba,805238/40/7,Town Centre,5000,Agricultural,TDR-2019-4702,Leasehold (65 yrs),2010-09-28,None,"-12.967335,28.647890",Paid
NDL-0456,Kansenshi Traders PLC,662671/27/8,Mapalo,250,Commercial,TDR-2017-8883,Leasehold (99 yrs),2015-10-19,None,"-12.972514,28.651106",Paid
NDL-0457,Chanda Tembo,771526/47/9,Kitwe Road,400,Residential,TDR-2021-2513,Leasehold (99 yrs),2014-11-02,None,"-12.994188,28.620085",Paid
NDL-0458,Chileshe Kaunda,882999/41/9,Chipulukusu,8000,Industrial,TDR-2013-2768,State Land,2023-11-25,None,"-12.976011,28.641184",Paid
NDL-0459,Simon Mwape,417365/39/6,Kitwe Road,10000,Industrial,TDR-2005-8894,Leasehold (65 yrs),2017-02-22,None,"-12.971003,28.647162",Paid
NDL-0460,Copperbelt Logistics Holdings,238095/30/2,Kabushi,5000,Agricultural,TDR-2021-3689,Leasehold (50 yrs),2016-08-23,None,"-12.987245,28.633224",Paid
NDL-0461,Rose Sitali,272568/36/6,Kitwe Road,1000,Residential,TDR-2013-2520,Leasehold (65 yrs),2020-06-11,None,"-12.970851,28.656071",Arrears
NDL-0462,Nchimunya Lungu,386838/23/1,Railway Line,250,Residential,TDR-2019-9207,State Land,2024-10-08,None,"-12.980219,28.667810",Paid
NDL-0463,David Kaluba,561143/44/5,Itawa,800,Commercial,TDR-2015-3366,Freehold,2018-12-19,Auctioned,"-12.991156,28.648167",Paid
NDL-0464,Memory Mulenga,474500/10/6,Kabushi,1500,Agricultural,TDR-2005-8678,Leasehold (99 yrs),2016-02-16,None,"-12.983779,28.654564",Paid
NDL-0465,Angela Kaunda,518545/21/7,Twapia,200,Residential,TDR-2009-1530,Leasehold (99 yrs),2022-10-25,None,"-12.972910,28.658037",Paid
NDL-0466,David Tembo,522313/10/7,Mushili,400,Commercial,TDR-2023-9360,Leasehold (99 yrs),2011-09-01,None,"-12.983792,28.656804",Paid
NDL-0467,GreenFields Ltd,872084/39/6,Garden,1229,Mixed Use,TDR-2007-5709,Leasehold (50 yrs),2023-04-13,None,"-12.982898,28.656755",Paid
NDL-0468,Copperbelt Logistics Enterprises,941140/35/1,Kitwe Road,8000,Industrial,TDR-2020-9565,Freehold,2019-10-27,Mortgaged,"-12.964963,28.633743",Paid
NDL-0469,Peter Mwanza,600503/42/7,Garden,400,Commercial,TDR-2023-6392,Leasehold (65 yrs),2018-01-23,None,"-12.994425,28.660293",Paid
NDL-0470,Ndola Minerals Holdings,930682/49/1,Kabushi,332,Mixed Use,TDR-2008-2905,Leasehold (99 yrs),2016-06-15,None,"-12.963625,28.672706",Arrears
NDL-0471,Mary Chanda,673308/49/4,Chililabombwe Road,10000,Agricultural,TDR-2019-4561,State Land,2009-07-14,None,"-12.961123,28.664227",Paid
NDL-0472,Thandiwe Lungu,309381/21/3,Northrise,20000,Industrial,TDR-2013-7081,Leasehold (99 yrs),2017-07-07,None,"-12.976569,28.674784",Paid
NDL-0473,Esther Tembo,868333/21/2,Mapalo,450,Residential,TDR-2015-6142,Leasehold (99 yrs),2015-10-10,None,"-12.960904,28.673399",Paid
NDL-0474,Nchimunya Mulenga,569848/36/3,Mapalo,1144,Mixed Use,TDR-2006-3574,Freehold,2023-08-19,None,"-12.985634,28.646210",Paid
NDL-0475,Ndola Minerals Resources,768143/37/1,Garden,1000,Residential,TDR-2014-6778,Leasehold (50 yrs),2006-04-01,Auctioned,"-12.980132,28.634039",Paid
NDL-0476,Chileshe Phiri,629289/44/8,Twapia,8000,Agricultural,TDR-2021-4620,Leasehold (65 yrs),2024-10-01,None,"-12.971875,28.656570",Paid
NDL-0477,Central Agro Enterprises,662870/15/1,Chifubu,2000,Industrial,TDR-2022-9291,State Land,2017-03-17,None,"-12.993564,28.621151",Paid
NDL-0478,Copperbelt Logistics Industrial,812117/21/6,Chililabombwe Road,5000,Agricultural,TDR-2024-4166,Leasehold (65 yrs),2020-10-06,None,"-12.964945,28.653374",Paid
NDL-0479,Nchimunya Mwape,672691/41/7,Chipulukusu,800,Commercial,TDR-2022-4853,Leasehold (99 yrs),2015-04-14,Caveat,"-12.992308,28.638302",Paid
NDL-0480,Joseph Kaluba,466235/34/8,Masala,8000,Industrial,TDR-2008-8265,Leasehold (50 yrs),2006-01-03,None,"-12.988834,28.634157",Paid
NDL-0481,David Chola,229474/25/2,Chifubu,5000,Industrial,TDR-2014-1425,Leasehold (99 yrs),2021-06-11,Double_Allocation,"-12.966002,28.664431",Paid
NDL-0482,Mary Mwanza,521680/20/4,Mapalo,10000,Industrial,TDR-2017-7148,Leasehold (50 yrs),2024-09-22,None,"-12.977497,28.635897",Paid
NDL-0483,Patrick Phiri,591380/42/3,Twapia,250,Residential,TDR-2022-6886,Leasehold (99 yrs),2005-01-11,Mortgaged,"-12.966371,28.632087",Paid
NDL-0484,Memory Lungu,655219/32/4,Chipulukusu,2000,Agricultural,TDR-2013-3645,Leasehold (99 yrs),2006-05-29,None,"-12.963975,28.659717",Paid
NDL-0485,Esther Kaluba,646395/40/4,Kitwe Road,3000,Industrial,TDR-2024-2589,Leasehold (99 yrs),2010-11-12,None,"-12.994708,28.645224",Arrears
NDL-0486,Chileshe Mulenga,409301/36/8,Chipulukusu,300,Residential,TDR-2012-6538,Leasehold (50 yrs),2011-01-27,None,"-12.966511,28.661323",Paid
NDL-0487,Chanda Kaunda,441246/30/4,Mushili,800,Commercial,TDR-2007-6273,Freehold,2010-01-09,None,"-12.965206,28.638371",Paid
NDL-0488,Thandiwe Sitali,690903/38/1,Masala,8000,Agricultural,TDR-2023-7335,Freehold,2022-01-19,Double_Allocation,"-12.988912,28.674108",Paid
NDL-0489,Chanda Phiri,318298/40/4,Chililabombwe Road,2000,Agricultural,TDR-2010-6113,State Land,2021-04-28,Boundary_Dispute,"-12.988564,28.635732",Paid
NDL-0490,Samuel Mulilo,545102/28/3,Kabushi,5000,Industrial,TDR-2009-1191,State Land,2005-04-10,None,"-12.980116,28.659234",Arrears
NDL-0491,Mary Sitali,583147/50/5,Chililabombwe Road,1000,Commercial,TDR-2009-3223,State Land,2013-05-02,None,"-12.975753,28.638145",Paid
NDL-0492,Chileshe Kaunda,263669/13/2,Chililabombwe Road,2000,Agricultural,TDR-2022-9290,Leasehold (99 yrs),2017-07-06,None,"-12.961776,28.636327",Paid
NDL-0493,GreenFields PLC,746762/26/8,Kansenshi,350,Residential,TDR-2017-3581,Leasehold (99 yrs),2023-05-15,Caveat,"-12.989856,28.633765",Paid
NDL-0494,Brian Kaluba,527565/38/2,Ndeke,3000,Industrial,TDR-2010-4528,Leasehold (65 yrs),2017-11-30,None,"-12.983072,28.656176",Paid
NDL-0495,Angela Mulenga,817203/18/6,Kansenshi,417,Mixed Use,TDR-2022-6694,Leasehold (99 yrs),2019-07-05,None,"-12.982140,28.662825",Arrears
NDL-0496,Mercy Banda,998735/33/8,Mapalo,1500,Commercial,TDR-2020-5665,Leasehold (65 yrs),2006-06-18,None,"-12.973850,28.659887",Paid
NDL-0497,Ndola Estate Holdings,150121/18/8,Chifubu,8000,Industrial,TDR-2022-1757,Leasehold (65 yrs),2016-01-08,Mortgaged,"-12.963859,28.635897",Paid
NDL-0498,Joseph Tembo,362040/38/6,Railway Line,1202,Mixed Use,TDR-2006-5259,Freehold,2018-09-11,None,"-12.969098,28.635061",Paid
NDL-0499,Copperbelt Logistics Industrial,958812/14/3,Railway Line,1500,Commercial,TDR-2021-6831,State Land,2020-09-25,Mortgaged,"-12.985093,28.628554",Paid
NDL-0500,Mukuka Mwape,361330/19/7,Masala,3000,Industrial,TDR-2008-7612,Leasehold (99 yrs),2018-04-14,None,"-12.964969,28.642389",Paid
NDL-0501,Chileshe Kaunda,182925/43/4,Mushili,700,Residential,TDR-2020-1879,Leasehold (50 yrs),2011-10-28,None,"-12.988700,28.640871",Paid
NDL-0502,Mwansa Ndalama,540776/30/8,Ndeke,10000,Industrial,TDR-2023-1395,State Land,2017-02-24,None,"-12.987747,28.656703",Paid
NDL-0503,Brian Tembo,725102/46/9,Chililabombwe Road,20000,Agricultural,TDR-2018-9246,Freehold,2010-03-03,None,"-12.961461,28.623728",Paid
NDL-0504,Victor Tembo,591580/26/5,Kabushi,800,Commercial,TDR-2016-6533,State Land,2011-05-09,None,"-12.990535,28.644583",Arrears
NDL-0505,David Kaunda,510351/24/7,Chipulukusu,947,Mixed Use,TDR-2020-4808,Leasehold (50 yrs),2005-03-11,None,"-12.962327,28.656566",Paid
NDL-0506,Joseph Mwape,906508/25/8,Garden,555,Mixed Use,TDR-2018-7936,State Land,2018-12-20,None,"-12.960890,28.634528",Paid
NDL-0507,Beatrice Mulilo,752268/23/7,Masala,2000,Agricultural,TDR-2019-2098,State Land,2005-09-24,None,"-12.971811,28.661967",Arrears
NDL-0508,George Chola,619485/41/8,Industrial Area,250,Residential,TDR-2018-4063,Leasehold (65 yrs),2011-07-31,None,"-12.969491,28.661505",Paid
NDL-0509,Chibwe Kaunda,655874/32/5,Chipulukusu,250,Commercial,TDR-2016-7909,Leasehold (99 yrs),2016-05-09,Mortgaged,"-12.985225,28.638395",Paid
NDL-0510,Central Agro Enterprises,515199/29/7,Ndeke,1500,Agricultural,TDR-2024-2954,State Land,2008-02-29,Mortgaged,"-12.970914,28.639343",Paid
NDL-0511,Nchimunya Mumba,441529/26/5,Town Centre,2000,Industrial,TDR-2014-5728,State Land,2018-02-18,None,"-12.969097,28.652715",Paid
NDL-0512,ZamBuild Resources,241857/23/3,Kabushi,1500,Agricultural,TDR-2013-2268,Leasehold (50 yrs),2016-11-08,Auctioned,"-12.975653,28.625630",Paid
NDL-0513,Mulenga Zulu,432735/31/5,Northrise,350,Residential,TDR-2007-4925,Leasehold (99 yrs),2014-01-06,None,"-12.988282,28.670256",Paid
NDL-0514,Samuel Kapasa,235335/25/6,Garden,350,Residential,TDR-2011-7817,State Land,2010-06-07,None,"-12.965366,28.627117",Arrears
NDL-0515,PanAfrican Cement Co,144397/21/5,Masala,2000,Industrial,TDR-2012-2795,Freehold,2016-05-07,None,"-12.980844,28.673612",Paid
NDL-0516,David Kaunda,379775/47/3,Mushili,8000,Industrial,TDR-2017-8296,Freehold,2019-11-13,None,"-12.996261,28.638424",Paid
NDL-0517,Nchimunya Tembo,805670/43/3,Chifubu,476,Mixed Use,TDR-2017-9448,Leasehold (50 yrs),2022-04-13,None,"-12.984042,28.648391",Paid
NDL-0518,Patricia Mumba,961621/24/6,Chipulukusu,1934,Mixed Use,TDR-2009-8349,Freehold,2007-12-23,None,"-12.972227,28.659462",Paid
NDL-0519,James Mwanza,789855/42/1,Garden,200,Residential,TDR-2010-4499,Leasehold (50 yrs),2018-02-13,None,"-12.984807,28.672600",Paid
NDL-0520,Alice Mwanza,438848/17/2,Twapia,400,Commercial,TDR-2023-1124,Leasehold (65 yrs),2005-11-01,None,"-12.975076,28.628888",Paid
NDL-0521,Chibwe Mwape,526787/18/3,Kitwe Road,20000,Agricultural,TDR-2011-8242,Freehold,2014-12-02,None,"-12.992013,28.626020",Paid
NDL-0522,Samuel Kaluba,869354/11/2,Chifubu,1200,Commercial,TDR-2014-4402,Leasehold (65 yrs),2013-11-29,Double_Allocation,"-12.976026,28.671456",Paid
NDL-0523,Mutale Mulilo,170545/43/5,Industrial Area,250,Commercial,TDR-2019-6829,Leasehold (65 yrs),2009-11-25,None,"-12.976874,28.631254",Arrears
NDL-0524,Simon Tembo,239342/25/5,Twapia,300,Residential,TDR-2011-7524,Leasehold (99 yrs),2019-03-02,None,"-12.961626,28.656778",Paid
NDL-0525,Samuel Mwanza,475290/44/5,Masala,2000,Industrial,TDR-2022-2449,Freehold,2022-03-30,Caveat,"-12.973639,28.622954",Paid
NDL-0526,Nchimunya Sichone,181984/15/2,Lubuto,834,Mixed Use,TDR-2022-9378,Leasehold (65 yrs),2007-08-12,None,"-12.960952,28.640240",Paid
NDL-0527,Chibwe Chola,255928/47/7,Railway Line,350,Residential,TDR-2005-3669,State Land,2018-05-13,None,"-12.991639,28.656071",Paid
NDL-0528,James Chola,640053/44/3,Itawa,500,Commercial,TDR-2005-2522,Leasehold (99 yrs),2007-07-23,None,"-12.971790,28.674071",Paid
NDL-0529,ZamBuild Industrial,670220/47/8,Chifubu,800,Commercial,TDR-2016-2881,Freehold,2022-09-06,None,"-12.970809,28.649996",Paid
NDL-0530,PanAfrican Cement Co,500897/42/9,Garden,800,Commercial,TDR-2012-7980,Leasehold (50 yrs),2011-05-19,Boundary_Dispute,"-12.993568,28.651888",Arrears
NDL-0531,George Kaunda,368785/38/8,Northrise,3000,Agricultural,TDR-2022-1439,State Land,2009-05-09,None,"-12.983414,28.621969",Paid
NDL-0532,Peter Tembo,398570/43/7,Kabushi,3000,Industrial,TDR-2015-3068,Freehold,2012-12-12,None,"-12.991356,28.630362",Paid
NDL-0533,Samuel Phiri,998012/33/5,Masala,5000,Agricultural,TDR-2015-8873,Leasehold (50 yrs),2021-08-05,None,"-12.983291,28.666752",Paid
NDL-0534,Mulenga Ndalama,400374/45/6,Kitwe Road,800,Commercial,TDR-2011-5516,Freehold,2018-06-20,None,"-12.975731,28.621141",Paid
NDL-0535,George Banda,656600/10/8,Masala,1000,Commercial,TDR-2022-9667,Leasehold (99 yrs),2008-08-20,None,"-12.980373,28.627648",Paid
NDL-0536,Mercy Sitali,818355/40/8,Garden,2000,Industrial,TDR-2012-1254,State Land,2020-07-02,None,"-12.993218,28.622951",Paid
